Year,Week,Day,Demand
2018,1,Monday,147.0
2018,1,Tuesday,138.0
2018,1,Wednesday,227.0
2018,1,Thursday,440.0
2018,1,Friday,264.0
2018,1,Saturday,288.0
2018,1,Sunday,222.0
2018,2,Monday,163.0
2018,2,Tuesday,130.0
2018,2,Wednesday,156.0
2018,2,Thursday,276.0
2018,2,Friday,244.0
2018,2,Saturday,234.0
2018,2,Sunday,229.0
2018,3,Monday,133.0
2018,3,Tuesday,177.0
2018,3,Wednesday,267.0
2018,3,Thursday,409.0
2018,3,Friday,232.0
2018,3,Saturday,290.0
2018,3,Sunday,296.0
2018,4,Monday,201.0
2018,4,Tuesday,244.0
2018,4,Wednesday,294.0
2018,4,Thursday,632.0
2018,4,Friday,391.0
2018,4,Saturday,475.0
2018,4,Sunday,396.0
2018,5,Monday,228.0
2018,5,Tuesday,199.0
2018,5,Wednesday,289.0
2018,5,Thursday,533.0
2018,5,Friday,412.0
2018,5,Saturday,296.0
2018,5,Sunday,353.0
2018,6,Monday,239.0
2018,6,Tuesday,408.0
2018,6,Wednesday,615.0
2018,6,Thursday,1209.0
2018,6,Friday,1092.0
2018,6,Saturday,770.0
2018,6,Sunday,278.0
2018,7,Monday,1143.0
2018,7,Tuesday,1053.0
2018,7,Wednesday,1498.0
2018,7,Thursday,2516.0
2018,7,Friday,2536.0
2018,7,Saturday,2669.0
2018,7,Sunday,1263.0
2018,8,Monday,165.0
2018,8,Tuesday,194.0
2018,8,Wednesday,196.0
2018,8,Thursday,467.0
2018,8,Friday,417.0
2018,8,Saturday,366.0
2018,8,Sunday,313.0
2018,9,Monday,146.0
2018,9,Tuesday,217.0
2018,9,Wednesday,353.0
2018,9,Thursday,641.0
2018,9,Friday,485.0
2018,9,Saturday,582.0
2018,9,Sunday,322.0
2018,10,Monday,283.0
2018,10,Tuesday,305.0
2018,10,Wednesday,414.0
2018,10,Thursday,480.0
2018,10,Friday,556.0
2018,10,Saturday,622.0
2018,10,Sunday,322.0
2018,11,Monday,316.0
2018,11,Tuesday,228.0
2018,11,Wednesday,298.0
2018,11,Thursday,567.0
2018,11,Friday,530.0
2018,11,Saturday,437.0
2018,11,Sunday,271.0
2018,12,Monday,259.0
