Year,Week,Day,Demand
2018,1,Monday,119.0
2018,1,Tuesday,128.0
2018,1,Wednesday,175.0
2018,1,Thursday,324.0
2018,1,Friday,166.0
2018,1,Saturday,205.0
2018,1,Sunday,131.0
2018,2,Monday,141.0
2018,2,Tuesday,102.0
2018,2,Wednesday,192.0
2018,2,Thursday,311.0
2018,2,Friday,279.0
2018,2,Saturday,215.0
2018,2,Sunday,229.0
2018,3,Monday,101.0
2018,3,Tuesday,148.0
2018,3,Wednesday,245.0
2018,3,Thursday,390.0
2018,3,Friday,277.0
2018,3,Saturday,216.0
2018,3,Sunday,185.0
2018,4,Monday,125.0
2018,4,Tuesday,180.0
2018,4,Wednesday,248.0
2018,4,Thursday,484.0
2018,4,Friday,297.0
2018,4,Saturday,316.0
2018,4,Sunday,223.0
2018,5,Monday,121.0
2018,5,Tuesday,120.0
2018,5,Wednesday,228.0
2018,5,Thursday,436.0
2018,5,Friday,351.0
2018,5,Saturday,248.0
2018,5,Sunday,108.0
2018,6,Monday,330.0
2018,6,Tuesday,349.0
2018,6,Wednesday,487.0
2018,6,Thursday,1219.0
2018,6,Friday,813.0
2018,6,Saturday,597.0
2018,6,Sunday,438.0
2018,7,Monday,988.0
2018,7,Tuesday,915.0
2018,7,Wednesday,926.0
2018,7,Thursday,2699.0
2018,7,Friday,2342.0
2018,7,Saturday,2231.0
2018,7,Sunday,1867.0
2018,8,Monday,200.0
2018,8,Tuesday,203.0
2018,8,Wednesday,194.0
2018,8,Thursday,530.0
2018,8,Friday,263.0
2018,8,Saturday,250.0
2018,8,Sunday,339.0
2018,9,Monday,92.0
2018,9,Tuesday,198.0
2018,9,Wednesday,293.0
2018,9,Thursday,499.0
2018,9,Friday,293.0
2018,9,Saturday,436.0
2018,9,Sunday,178.0
2018,10,Monday,238.0
2018,10,Tuesday,208.0
2018,10,Wednesday,274.0
2018,10,Thursday,675.0
2018,10,Friday,482.0
2018,10,Saturday,577.0
2018,10,Sunday,258.0
2018,11,Monday,135.0
2018,11,Tuesday,195.0
2018,11,Wednesday,336.0
2018,11,Thursday,542.0
2018,11,Friday,431.0
2018,11,Saturday,302.0
2018,11,Sunday,422.0
2018,12,Monday,168.0
2018,12,Tuesday,273.0
2018,12,Wednesday,221.0
2018,12,Thursday,627.0
2018,12,Friday,423.0
2018,12,Saturday,535.0
2018,12,Sunday,414.0
2018,13,Monday,136.0
2018,13,Tuesday,243.0
2018,13,Wednesday,304.0
2018,13,Thursday,667.0
2018,13,Friday,336.0
2018,13,Saturday,235.0
2018,13,Sunday,193.0
2018,14,Monday,185.0
2018,14,Tuesday,370.0
2018,14,Wednesday,248.0
2018,14,Thursday,686.0
2018,14,Friday,658.0
2018,14,Saturday,769.0
2018,14,Sunday,208.0
2018,15,Monday,175.0
2018,15,Tuesday,281.0
2018,15,Wednesday,346.0
2018,15,Thursday,900.0
2018,15,Friday,557.0
2018,15,Saturday,663.0
2018,15,Sunday,241.0
2018,16,Monday,417.0
2018,16,Tuesday,434.0
2018,16,Wednesday,433.0
2018,16,Thursday,523.0
2018,16,Friday,670.0
2018,16,Saturday,738.0
2018,16,Sunday,492.0
2018,17,Monday,268.0
2018,17,Tuesday,431.0
2018,17,Wednesday,511.0
2018,17,Thursday,955.0
2018,17,Friday,830.0
2018,17,Saturday,936.0
2018,17,Sunday,443.0
2018,18,Monday,448.0
2018,18,Tuesday,367.0
2018,18,Wednesday,547.0
2018,18,Thursday,1079.0
2018,18,Friday,714.0
2018,18,Saturday,813.0
2018,18,Sunday,214.0
2018,19,Monday,447.0
2018,19,Tuesday,550.0
2018,19,Wednesday,707.0
2018,19,Thursday,1242.0
2018,19,Friday,1114.0
2018,19,Saturday,885.0
2018,19,Sunday,856.0
2018,20,Monday,642.0
2018,20,Tuesday,381.0
2018,20,Wednesday,679.0
