Year,Week,Day,Demand
2018,1,Monday,154.0
2018,1,Tuesday,166.0
2018,1,Wednesday,133.0
2018,1,Thursday,282.0
2018,1,Friday,341.0
2018,1,Saturday,166.0
2018,1,Sunday,301.0
2018,2,Monday,156.0
2018,2,Tuesday,156.0
2018,2,Wednesday,233.0
2018,2,Thursday,391.0
2018,2,Friday,280.0
2018,2,Saturday,455.0
2018,2,Sunday,251.0
2018,3,Monday,168.0
2018,3,Tuesday,218.0
2018,3,Wednesday,324.0
2018,3,Thursday,642.0
2018,3,Friday,507.0
2018,3,Saturday,573.0
2018,3,Sunday,247.0
2018,4,Monday,205.0
2018,4,Tuesday,181.0
2018,4,Wednesday,294.0
2018,4,Thursday,319.0
2018,4,Friday,468.0
2018,4,Saturday,557.0
2018,4,Sunday,263.0
2018,5,Monday,243.0
2018,5,Tuesday,272.0
2018,5,Wednesday,406.0
2018,5,Thursday,585.0
2018,5,Friday,398.0
2018,5,Saturday,473.0
2018,5,Sunday,460.0
2018,6,Monday,366.0
2018,6,Tuesday,635.0
2018,6,Wednesday,566.0
2018,6,Thursday,1227.0
2018,6,Friday,1395.0
2018,6,Saturday,1116.0
2018,6,Sunday,440.0
2018,7,Monday,1180.0
2018,7,Tuesday,1004.0
2018,7,Wednesday,1766.0
2018,7,Thursday,3610.0
2018,7,Friday,2386.0
2018,7,Saturday,3029.0
2018,7,Sunday,2265.0
2018,8,Monday,217.0
2018,8,Tuesday,201.0
2018,8,Wednesday,386.0
2018,8,Thursday,607.0
2018,8,Friday,384.0
2018,8,Saturday,500.0
2018,8,Sunday,142.0
2018,9,Monday,278.0
2018,9,Tuesday,182.0
2018,9,Wednesday,258.0
2018,9,Thursday,592.0
2018,9,Friday,567.0
2018,9,Saturday,633.0
2018,9,Sunday,150.0
2018,10,Monday,209.0
2018,10,Tuesday,347.0
2018,10,Wednesday,268.0
2018,10,Thursday,418.0
2018,10,Friday,699.0
2018,10,Saturday,622.0
2018,10,Sunday,343.0
2018,11,Monday,288.0
2018,11,Tuesday,204.0
2018,11,Wednesday,292.0
2018,11,Thursday,781.0
2018,11,Friday,554.0
2018,11,Saturday,683.0
2018,11,Sunday,690.0
2018,12,Monday,324.0
2018,12,Tuesday,274.0
2018,12,Wednesday,510.0
2018,12,Thursday,604.0
2018,12,Friday,760.0
2018,12,Saturday,440.0
2018,12,Sunday,519.0
2018,13,Monday,241.0
2018,13,Tuesday,360.0
2018,13,Wednesday,505.0
2018,13,Thursday,534.0
2018,13,Friday,855.0
2018,13,Saturday,800.0
2018,13,Sunday,345.0
2018,14,Monday,324.0
2018,14,Tuesday,456.0
2018,14,Wednesday,637.0
2018,14,Thursday,630.0
2018,14,Friday,841.0
2018,14,Saturday,714.0
2018,14,Sunday,535.0
2018,15,Monday,422.0
2018,15,Tuesday,455.0
2018,15,Wednesday,387.0
2018,15,Thursday,1306.0
2018,15,Friday,654.0
2018,15,Saturday,991.0
2018,15,Sunday,360.0
2018,16,Monday,464.0
2018,16,Tuesday,474.0
2018,16,Wednesday,569.0
2018,16,Thursday,1152.0
2018,16,Friday,632.0
2018,16,Saturday,1129.0
2018,16,Sunday,440.0
2018,17,Monday,529.0
2018,17,Tuesday,635.0
2018,17,Wednesday,615.0
2018,17,Thursday,1774.0
2018,17,Friday,1028.0
2018,17,Saturday,515.0
2018,17,Sunday,933.0
2018,18,Monday,568.0
2018,18,Tuesday,540.0
2018,18,Wednesday,648.0
2018,18,Thursday,1588.0
2018,18,Friday,1393.0
2018,18,Saturday,1121.0
2018,18,Sunday,916.0
2018,19,Monday,527.0
2018,19,Tuesday,761.0
2018,19,Wednesday,895.0
2018,19,Thursday,1910.0
2018,19,Friday,1428.0
2018,19,Saturday,1264.0
2018,19,Sunday,883.0
2018,20,Monday,479.0
2018,20,Tuesday,508.0
2018,20,Wednesday,1046.0
2018,20,Thursday,2319.0
2018,20,Friday,1537.0
2018,20,Saturday,1267.0
2018,20,Sunday,1303.0
2018,21,Monday,650.0
2018,21,Tuesday,820.0
2018,21,Wednesday,828.0
2018,21,Thursday,1928.0
2018,21,Friday,1351.0
2018,21,Saturday,1504.0
2018,21,Sunday,1345.0
2018,22,Monday,566.0
2018,22,Tuesday,991.0
2018,22,Wednesday,1183.0
2018,22,Thursday,1640.0
2018,22,Friday,2032.0
2018,22,Saturday,1662.0
2018,22,Sunday,394.0
2018,23,Monday,674.0
2018,23,Tuesday,1036.0
