Year,Week,Day,Demand
2018,1,Monday,99.0
2018,1,Tuesday,214.0
2018,1,Wednesday,204.0
2018,1,Thursday,435.0
2018,1,Friday,342.0
2018,1,Saturday,395.0
2018,1,Sunday,275.0
2018,2,Monday,235.0
2018,2,Tuesday,142.0
2018,2,Wednesday,316.0
2018,2,Thursday,380.0
2018,2,Friday,363.0
2018,2,Saturday,352.0
2018,2,Sunday,216.0
2018,3,Monday,211.0
2018,3,Tuesday,237.0
2018,3,Wednesday,242.0
2018,3,Thursday,394.0
2018,3,Friday,458.0
2018,3,Saturday,426.0
2018,3,Sunday,276.0
2018,4,Monday,259.0
2018,4,Tuesday,269.0
2018,4,Wednesday,323.0
2018,4,Thursday,724.0
2018,4,Friday,536.0
2018,4,Saturday,273.0
2018,4,Sunday,263.0
2018,5,Monday,162.0
2018,5,Tuesday,188.0
2018,5,Wednesday,261.0
2018,5,Thursday,723.0
2018,5,Friday,470.0
2018,5,Saturday,392.0
2018,5,Sunday,144.0
2018,6,Monday,404.0
2018,6,Tuesday,638.0
2018,6,Wednesday,528.0
2018,6,Thursday,1509.0
2018,6,Friday,1077.0
2018,6,Saturday,1348.0
2018,6,Sunday,867.0
2018,7,Monday,938.0
2018,7,Tuesday,1375.0
2018,7,Wednesday,1567.0
2018,7,Thursday,4070.0
2018,7,Friday,2705.0
2018,7,Saturday,2953.0
2018,7,Sunday,2085.0
2018,8,Monday,294.0
2018,8,Tuesday,242.0
2018,8,Wednesday,309.0
2018,8,Thursday,702.0
2018,8,Friday,386.0
2018,8,Saturday,247.0
2018,8,Sunday,315.0
2018,9,Monday,312.0
2018,9,Tuesday,198.0
2018,9,Wednesday,384.0
2018,9,Thursday,457.0
2018,9,Friday,329.0
2018,9,Saturday,357.0
2018,9,Sunday,417.0
2018,10,Monday,298.0
2018,10,Tuesday,411.0
2018,10,Wednesday,362.0
2018,10,Thursday,556.0
2018,10,Friday,752.0
2018,10,Saturday,590.0
2018,10,Sunday,466.0
2018,11,Monday,309.0
2018,11,Tuesday,354.0
2018,11,Wednesday,343.0
2018,11,Thursday,795.0
2018,11,Friday,772.0
2018,11,Saturday,736.0
2018,11,Sunday,337.0
2018,12,Monday,297.0
2018,12,Tuesday,253.0
2018,12,Wednesday,571.0
2018,12,Thursday,663.0
2018,12,Friday,459.0
2018,12,Saturday,803.0
2018,12,Sunday,329.0
2018,13,Monday,289.0
2018,13,Tuesday,258.0
2018,13,Wednesday,407.0
2018,13,Thursday,721.0
2018,13,Friday,836.0
2018,13,Saturday,872.0
2018,13,Sunday,302.0
2018,14,Monday,350.0
2018,14,Tuesday,446.0
2018,14,Wednesday,560.0
2018,14,Thursday,1268.0
2018,14,Friday,615.0
2018,14,Saturday,523.0
2018,14,Sunday,550.0
2018,15,Monday,406.0
2018,15,Tuesday,496.0
2018,15,Wednesday,490.0
2018,15,Thursday,744.0
2018,15,Friday,848.0
2018,15,Saturday,464.0
2018,15,Sunday,202.0
2018,16,Monday,381.0
2018,16,Tuesday,411.0
2018,16,Wednesday,679.0
2018,16,Thursday,1108.0
2018,16,Friday,757.0
2018,16,Saturday,607.0
2018,16,Sunday,468.0
2018,17,Monday,431.0
2018,17,Tuesday,590.0
2018,17,Wednesday,646.0
2018,17,Thursday,1615.0
2018,17,Friday,1197.0
2018,17,Saturday,636.0
2018,17,Sunday,451.0
2018,18,Monday,673.0
2018,18,Tuesday,553.0
2018,18,Wednesday,897.0
2018,18,Thursday,1436.0
2018,18,Friday,1047.0
2018,18,Saturday,897.0
2018,18,Sunday,820.0
2018,19,Monday,343.0
2018,19,Tuesday,848.0
2018,19,Wednesday,811.0
2018,19,Thursday,1312.0
2018,19,Friday,945.0
2018,19,Saturday,677.0
2018,19,Sunday,1251.0
2018,20,Monday,941.0
2018,20,Tuesday,689.0
2018,20,Wednesday,846.0
2018,20,Thursday,2210.0
2018,20,Friday,1106.0
2018,20,Saturday,1558.0
2018,20,Sunday,869.0
2018,21,Monday,571.0
2018,21,Tuesday,580.0
2018,21,Wednesday,686.0
2018,21,Thursday,947.0
2018,21,Friday,1518.0
2018,21,Saturday,887.0
2018,21,Sunday,852.0
2018,22,Monday,672.0
2018,22,Tuesday,882.0
2018,22,Wednesday,1088.0
2018,22,Thursday,2630.0
2018,22,Friday,1431.0
2018,22,Saturday,1967.0
2018,22,Sunday,752.0
2018,23,Monday,758.0
2018,23,Tuesday,839.0
2018,23,Wednesday,698.0
2018,23,Thursday,1615.0
2018,23,Friday,1642.0
2018,23,Saturday,874.0
2018,23,Sunday,1571.0
2018,24,Monday,785.0
2018,24,Tuesday,828.0
