Year, Total Demand, Total Shipped, Satisfaction Level
1,370397,369201,0.996771
2,363280,362535,0.997949
3,364613,363336,0.996498
4,362466,361225,0.996576
5,369050,367857,0.996767
6,364099,363105,0.99727
7,365936,365077,0.997653
8,369728,369162,0.998469
9,360006,359848,0.999561
10,369787,368215,0.995749
11,367380,365703,0.995435
12,367994,366533,0.99603
13,364604,363252,0.996292
14,366780,366081,0.998094
15,364839,364074,0.997903
16,360080,359043,0.99712
17,365034,364298,0.997984
18,363394,361884,0.995845
19,361517,360801,0.998019
20,365789,364929,0.997649
21,360022,359137,0.997542
22,367605,366153,0.99605
23,366531,366219,0.999149
24,358419,358114,0.999149
25,369961,368833,0.996951
26,364726,363668,0.997099
27,369080,367780,0.996478
28,362012,361287,0.997997
29,366038,364564,0.995973
30,367148,365746,0.996181
31,365187,364098,0.997018
32,367182,365142,0.994444
33,363891,362567,0.996362
34,370873,370133,0.998005
35,365161,364688,0.998705
36,369776,368104,0.995478
37,363291,361154,0.994118
38,357490,356083,0.996064
39,364176,362487,0.995362
40,365698,364316,0.996221
41,371842,370443,0.996238
42,364242,363575,0.998169
43,369585,368507,0.997083
44,366526,365420,0.996982
45,369391,367838,0.995796
46,366766,365382,0.996226
47,365217,364412,0.997796
48,368009,367063,0.997429
49,366673,365934,0.997985
50,369227,367264,0.994683
51,366026,365197,0.997735
52,365970,364057,0.994773
53,365754,364779,0.997334
54,357132,356460,0.998118
55,361578,360133,0.996004
56,360382,359602,0.997836
57,370016,368877,0.996922
58,364301,363436,0.997626
59,367662,366794,0.997639
60,360767,359708,0.997065
61,360364,358532,0.994916
62,367399,366762,0.998266
63,366679,365262,0.996136
64,365502,364583,0.997486
65,365368,364187,0.996768
66,366075,365183,0.997563
67,364509,363631,0.997591
68,368148,367459,0.998128
69,365481,364634,0.997683
70,361381,360033,0.99627
71,363428,362164,0.996522
72,367335,366557,0.997882
73,368551,367486,0.99711
74,368237,367250,0.99732
75,363111,362309,0.997791
76,359863,359658,0.99943
77,359963,358365,0.995561
78,363874,362593,0.99648
79,362664,361466,0.996697
80,363395,361828,0.995688
81,362904,362240,0.99817
82,363833,362956,0.99759
83,366454,365680,0.997888
84,367757,366924,0.997735
85,366871,365877,0.997291
86,364935,363514,0.996106
87,368062,367607,0.998764
88,364953,363520,0.996073
89,364789,364170,0.998303
90,373063,372399,0.99822
91,366583,365114,0.995993
92,363454,363008,0.998773
93,362243,361669,0.998415
94,364544,362913,0.995526
95,364460,364460,1.0
96,364604,363192,0.996127
97,365829,364660,0.996805
98,370739,369870,0.997656
99,358111,356988,0.996864
100,368581,367236,0.996351
