Year, Total Demand, Total Shipped, Satisfaction Level
1,367097,367097,1.0
2,367438,367438,1.0
3,358498,358498,1.0
4,363078,363078,1.0
5,360830,360830,1.0
6,364118,364118,1.0
7,361191,361191,1.0
8,362334,362334,1.0
9,370294,370294,1.0
10,364959,364959,1.0
11,363145,363145,1.0
12,372163,372163,1.0
13,369771,369771,1.0
14,359642,359642,1.0
15,369554,369554,1.0
16,360713,360713,1.0
17,364015,364015,1.0
18,364264,364264,1.0
19,367891,367891,1.0
20,361349,361349,1.0
21,360720,360720,1.0
22,365212,365212,1.0
23,371035,371035,1.0
24,365248,365248,1.0
25,357107,357107,1.0
26,362892,362892,1.0
27,362945,362945,1.0
28,358209,358209,1.0
29,364265,364265,1.0
30,366275,366275,1.0
31,367857,367857,1.0
32,370336,370336,1.0
33,365107,365107,1.0
34,361883,361883,1.0
35,368141,368141,1.0
36,354595,354595,1.0
37,369327,369327,1.0
38,363935,363935,1.0
39,370614,370614,1.0
40,354166,354166,1.0
41,365355,365355,1.0
42,371356,371356,1.0
43,372089,372089,1.0
44,366618,366618,1.0
45,361658,361658,1.0
46,367298,367298,1.0
47,361878,361878,1.0
48,371740,371740,1.0
49,366266,366266,1.0
50,364534,364534,1.0
51,360854,360854,1.0
52,362061,362061,1.0
53,359054,359054,1.0
54,360007,360007,1.0
55,363488,363488,1.0
56,365471,365471,1.0
57,361595,361595,1.0
58,359459,359459,1.0
59,365650,365650,1.0
60,362450,362450,1.0
61,366180,366180,1.0
62,361616,361616,1.0
63,359738,359738,1.0
64,363750,363750,1.0
65,368259,368259,1.0
66,367841,367841,1.0
67,361266,361266,1.0
68,365803,365803,1.0
69,361267,361267,1.0
70,366411,366411,1.0
71,368261,368261,1.0
72,364747,364747,1.0
73,362879,362879,1.0
74,369723,369723,1.0
75,369377,369377,1.0
76,365116,365116,1.0
77,361940,361940,1.0
78,357106,357106,1.0
79,365774,365774,1.0
80,368592,368592,1.0
81,361094,361094,1.0
82,365181,365181,1.0
83,366282,366282,1.0
84,370858,370858,1.0
85,368395,368395,1.0
86,363769,363769,1.0
87,366947,366947,1.0
88,358850,358850,1.0
89,374505,374505,1.0
90,370364,370364,1.0
91,363872,363872,1.0
92,366290,366290,1.0
93,363678,363678,1.0
94,360355,360355,1.0
95,362164,362164,1.0
96,369726,369726,1.0
97,361743,361743,1.0
98,363433,363433,1.0
99,364663,364663,1.0
100,366241,366241,1.0
