Year, Total Demand, Total Shipped, Satisfaction Level
1,361796,361796,1.0
2,365811,365811,1.0
3,365410,365410,1.0
4,370284,370284,1.0
5,363716,363716,1.0
6,358344,358344,1.0
7,370536,370487,0.999868
8,362221,362221,1.0
9,367357,367357,1.0
10,369419,369337,0.999778
11,361423,361423,1.0
12,363563,363563,1.0
13,360152,360152,1.0
14,368147,368147,1.0
15,365123,365123,1.0
16,371332,371301,0.999917
17,360974,360974,1.0
18,360011,360011,1.0
19,367705,367705,1.0
20,364271,364271,1.0
21,365769,365769,1.0
22,366021,365902,0.999675
23,362626,362626,1.0
24,365464,365464,1.0
25,370862,370862,1.0
26,361068,361068,1.0
27,366256,366256,1.0
28,360750,360750,1.0
29,369898,369898,1.0
30,371075,371075,1.0
31,371110,371110,1.0
32,365287,365287,1.0
33,364706,364619,0.999761
34,363954,363954,1.0
35,363617,363617,1.0
36,359111,359111,1.0
37,362891,362891,1.0
38,362614,362614,1.0
39,366483,366483,1.0
40,366897,366897,1.0
41,362675,362655,0.999945
42,359085,359085,1.0
43,365098,365098,1.0
44,367553,367553,1.0
45,373955,373955,1.0
46,363641,363641,1.0
47,372358,372358,1.0
48,363598,363598,1.0
49,365907,365828,0.999784
50,364707,364707,1.0
51,358819,358819,1.0
52,366363,366363,1.0
53,367259,367259,1.0
54,367429,367429,1.0
55,365609,365609,1.0
56,362540,362540,1.0
57,364549,364549,1.0
58,361687,361626,0.999831
59,364037,363997,0.99989
60,375671,375671,1.0
61,360445,360445,1.0
62,366633,366603,0.999918
63,362744,362744,1.0
64,364550,364550,1.0
65,361187,361187,1.0
66,363819,363819,1.0
67,359227,359227,1.0
68,366440,366369,0.999806
69,363322,363322,1.0
70,365391,365391,1.0
71,357439,357270,0.999527
72,363979,363979,1.0
73,362305,362305,1.0
74,372550,372550,1.0
75,366755,366755,1.0
76,363155,363155,1.0
77,369840,369840,1.0
78,366884,366884,1.0
79,365611,365611,1.0
80,367011,366876,0.999632
81,367115,367054,0.999834
82,368168,368168,1.0
83,361961,361961,1.0
84,371021,371021,1.0
85,361717,361717,1.0
86,368413,368413,1.0
87,361450,361450,1.0
88,364737,364737,1.0
89,365335,365335,1.0
90,363364,363357,0.999981
91,362280,362280,1.0
92,372241,372241,1.0
93,369759,369759,1.0
94,368025,368025,1.0
95,362381,362381,1.0
96,371337,371337,1.0
97,365035,365029,0.999984
98,364348,364282,0.999819
99,365732,365732,1.0
100,370934,370934,1.0
