Year, Total Demand, Total Shipped, Satisfaction Level
1,368062,367382,0.998152
2,363297,362564,0.997982
3,360792,360358,0.998797
4,357132,356779,0.999012
5,364431,363531,0.99753
6,360887,360133,0.997911
7,363661,363347,0.999137
8,370913,370070,0.997727
9,369666,369139,0.998574
10,364580,363848,0.997992
11,363050,362429,0.998289
12,363996,363504,0.998648
13,364565,364223,0.999062
14,368845,368541,0.999176
15,368689,368124,0.998468
16,366178,365782,0.998919
17,371764,370987,0.99791
18,357947,357500,0.998751
19,362436,361560,0.997583
20,365042,364525,0.998584
21,369638,368964,0.998177
22,361835,361046,0.997819
23,369289,368584,0.998091
24,359789,359067,0.997993
25,365435,364940,0.998645
26,363546,363183,0.999002
27,366663,366324,0.999075
28,362186,361870,0.999128
29,361811,361320,0.998643
30,367804,367256,0.99851
31,365505,364807,0.99809
32,362870,362071,0.997798
33,362164,361863,0.999169
34,366100,365432,0.998175
35,367722,367028,0.998113
36,365463,364690,0.997885
37,368187,367738,0.998781
38,369667,369128,0.998542
39,369417,368793,0.998311
40,365207,364773,0.998812
41,371799,370897,0.997574
42,362834,362437,0.998906
43,363056,362151,0.997507
44,362855,362441,0.998859
45,361210,360357,0.997638
46,362857,362252,0.998333
47,355441,355026,0.998832
48,366415,365563,0.997675
49,363540,363095,0.998776
50,363959,363183,0.997868
51,369079,368466,0.998339
52,364974,364471,0.998622
53,359054,358440,0.99829
54,373673,373006,0.998215
55,366337,365908,0.998829
56,369467,369138,0.99911
57,358611,358100,0.998575
58,369194,368529,0.998199
59,363765,363443,0.999115
60,363295,362882,0.998863
61,366311,365710,0.998359
62,364756,363660,0.996995
63,364928,364328,0.998356
64,365045,364847,0.999458
65,367739,367255,0.998684
66,366961,366324,0.998264
67,364768,364083,0.998122
68,367727,367069,0.998211
69,367322,366955,0.999001
70,363712,362982,0.997993
71,364887,364198,0.998112
72,365467,364846,0.998301
73,361999,361355,0.998221
74,364546,363561,0.997298
75,367075,366521,0.998491
76,359836,359156,0.99811
77,360765,360105,0.998171
78,366995,366358,0.998264
79,362007,361435,0.99842
80,366496,365896,0.998363
81,364098,363430,0.998165
82,366834,366140,0.998108
83,374768,374038,0.998052
84,366327,365764,0.998463
85,367981,367391,0.998397
86,360629,359992,0.998234
87,358402,357596,0.997751
88,369532,369134,0.998923
89,368047,367737,0.999158
90,365704,365089,0.998318
91,369401,368852,0.998514
92,372087,371253,0.997759
93,369858,369332,0.998578
94,367253,366921,0.999096
95,372859,372379,0.998713
96,363478,362967,0.998594
97,369004,368429,0.998442
98,358845,357954,0.997517
99,372707,372148,0.9985
100,364034,363208,0.997731
