Year, Total Demand, Total Shipped, Satisfaction Level
1,367243,364191,0.991689
2,365434,364546,0.99757
3,364618,363081,0.995785
4,363257,360037,0.991136
5,365597,363193,0.993424
6,368038,366538,0.995924
7,361201,359486,0.995252
8,358536,356349,0.9939
9,369201,367529,0.995471
10,362899,362046,0.997649
11,361063,359972,0.996978
12,366098,363116,0.991855
13,371098,369079,0.994559
14,365976,364357,0.995576
15,362718,361881,0.997692
16,359551,357190,0.993433
17,370718,368765,0.994732
18,362921,361027,0.994781
19,368630,366699,0.994762
20,373783,371942,0.995075
21,363156,360707,0.993256
22,366953,364266,0.992678
23,367406,366553,0.997678
24,362007,360049,0.994591
25,364081,363366,0.998036
26,362237,361247,0.997267
27,363568,362431,0.996873
28,360291,359324,0.997316
29,371997,369406,0.993035
30,363146,362030,0.996927
31,370643,368180,0.993355
32,364749,363841,0.997511
33,366775,364343,0.993369
34,363609,360065,0.990253
35,374697,373283,0.996226
36,362645,360202,0.993263
37,368319,366285,0.994478
38,367883,365999,0.994879
39,367856,365041,0.992348
40,354409,352190,0.993739
41,362247,359433,0.992232
42,358311,356965,0.996243
43,358865,356546,0.993538
44,365926,365647,0.999238
45,369622,367723,0.994862
46,363849,362299,0.99574
47,360148,356944,0.991104
48,360366,358581,0.995047
49,365030,363292,0.995239
50,368835,367341,0.995949
51,368250,367199,0.997146
52,368734,366214,0.993166
53,365068,364254,0.99777
54,365622,364908,0.998047
55,360595,358501,0.994193
56,367389,365551,0.994997
57,369646,368745,0.997563
58,367596,365018,0.992987
59,362725,361931,0.997811
60,368136,365389,0.992538
61,356321,353573,0.992288
62,361779,359849,0.994665
63,369715,368241,0.996013
64,358660,358248,0.998851
65,363872,361499,0.993478
66,370807,367538,0.991184
67,363965,359858,0.988716
68,368460,367307,0.996871
69,361945,359638,0.993626
70,367052,365368,0.995412
71,361759,360191,0.995666
72,368428,367954,0.998713
73,362722,361011,0.995283
74,361392,361341,0.999859
75,362390,360683,0.99529
76,361158,359796,0.996229
77,366034,365278,0.997935
78,363799,362592,0.996682
79,360578,358522,0.994298
80,369920,368032,0.994896
81,372963,370594,0.993648
82,363161,361312,0.994909
83,362640,360264,0.993448
84,367769,366257,0.995889
85,363287,359848,0.990534
86,367174,365487,0.995405
87,361035,358883,0.994039
88,357479,356044,0.995986
89,365998,365076,0.997481
90,358294,355548,0.992336
91,369459,368429,0.997212
92,361995,358921,0.991508
93,357400,354698,0.99244
94,371278,369710,0.995777
95,367226,365900,0.996389
96,369873,366340,0.990448
97,364409,362167,0.993848
98,362654,362134,0.998566
99,358036,356116,0.994637
100,365854,363778,0.994326
