Year, Total Demand, Total Shipped, Satisfaction Level
1,367446,367317,0.999649
2,367978,367861,0.999682
3,366557,366533,0.999935
4,368230,368122,0.999707
5,366837,366633,0.999444
6,365094,364966,0.999649
7,359981,359911,0.999806
8,365055,365007,0.999869
9,362802,362749,0.999854
10,367612,367510,0.999723
11,371029,370909,0.999677
12,359797,359686,0.999691
13,364637,364500,0.999624
14,364458,364390,0.999813
15,360698,360632,0.999817
16,373219,372996,0.999402
17,365103,365103,1.0
18,359703,359703,1.0
19,368558,368504,0.999853
20,367784,367660,0.999663
21,365776,365613,0.999554
22,363281,363268,0.999964
23,361246,361112,0.999629
24,362255,362112,0.999605
25,369335,369217,0.999681
26,366573,366472,0.999724
27,370863,370648,0.99942
28,362862,362701,0.999556
29,361920,361784,0.999624
30,358626,358508,0.999671
31,367872,367509,0.999013
32,366601,366431,0.999536
33,363768,363654,0.999687
34,362218,362067,0.999583
35,362719,362587,0.999636
36,361473,361362,0.999693
37,365971,365835,0.999628
38,367355,367148,0.999437
39,367281,367262,0.999948
40,366929,366743,0.999493
41,363516,363493,0.999937
42,365303,365297,0.999984
43,364364,364330,0.999907
44,368293,368228,0.999824
45,367717,367563,0.999581
46,366189,366126,0.999828
47,367414,367349,0.999823
48,361345,361254,0.999748
49,365870,365740,0.999645
50,366682,366528,0.99958
51,362797,362743,0.999851
52,367291,367192,0.99973
53,356975,356920,0.999846
54,366278,366278,1.0
55,366220,366036,0.999498
56,366993,366848,0.999605
57,371602,371481,0.999674
58,368529,368411,0.99968
59,364845,364818,0.999926
60,366827,366706,0.99967
61,362682,362447,0.999352
62,363793,363793,1.0
63,364475,364475,1.0
64,365739,365659,0.999781
65,363706,363487,0.999398
66,364606,364327,0.999235
67,368540,368345,0.999471
68,360806,360676,0.99964
69,363057,362932,0.999656
70,361034,360957,0.999787
71,369218,368986,0.999372
72,364464,364420,0.999879
73,365172,365119,0.999855
74,366495,366285,0.999427
75,363412,363259,0.999579
76,366220,366162,0.999842
77,363132,363050,0.999774
78,365930,365820,0.999699
79,360987,360948,0.999892
80,364896,364833,0.999827
81,364215,364065,0.999588
82,368619,368537,0.999778
83,365691,365606,0.999768
84,361143,360975,0.999535
85,368994,368576,0.998867
86,359101,359026,0.999791
87,365565,365536,0.999921
88,364902,364649,0.999307
89,364329,364230,0.999728
90,360131,360033,0.999728
91,363630,363538,0.999747
92,365426,365332,0.999743
93,371833,371625,0.999441
94,363501,363371,0.999642
95,362449,362242,0.999429
96,360394,360309,0.999764
97,374887,374694,0.999485
98,370730,370482,0.999331
99,368114,367978,0.999631
100,369296,369077,0.999407
